v0_kms,avg_sigma_num_cm2g,avg_sigma_fit_cm2g,ratio_avg_num_fit
10.0,64.21684608781857,10.592109278994144,6.062706151943778
11.574864870826925,63.78550572781823,10.111236287848257,6.308378511980382
13.397749677790326,63.21909869337292,9.62943783126922,6.5651910112638685
15.5077142093588,62.48153080088543,9.151192472793172,6.827692782841722
17.94996964287307,61.530104572484,8.679682766368142,7.0889808105544585
20.776847305170133,60.31634718243778,8.21701265669058,7.340422815745099
24.048919999914883,58.7879554679649,7.764541060687099,7.571336800009483
27.836299928834183,56.89200831446762,7.322745972763714,7.769217794263553
32.22014101800648,54.57887072478077,6.890659319992633,7.920703693248199
37.2943778402413,51.805967173285346,6.4656567699538385,8.012483343382797
43.16773839423552,48.54073178683863,6.044602394254528,8.030425927266483
49.96607386924837,44.76583065769043,5.625978582442598,7.956985616225846
57.83505531623061,40.495183464429694,5.211059370784829,7.77100788593218
66.94329500821696,35.80530900862736,4.80364355415257,7.453781406756338
77.48595937280139,30.862368715500768,4.408671733292586,7.000378023711787
89.68895091265611,25.912404007038713,4.0309228260249,6.428404890249974
103.81374872202237,21.23216867754926,3.674126026050399,5.7788351643379405
120.16301131913902,17.065048388743495,3.340674903164299,5.1082637141912315
139.0870618490682,13.56112683457927,3.0316777851535486,4.473142528862916
160.9913946183311,10.745651030537168,2.7472617586514945,3.911404145126571
186.34536380731555,8.540219623779668,2.486771203811275,3.434260301346082
215.69224053747618,6.823564824930601,2.2490451670021923,3.0339830097880602
249.66085379071842,5.4830075354152825,2.0326462455498517,2.697472591415961
288.9790646162844,4.432028384883638,1.8359657949871107,2.4140037886243695
334.4893623431454,3.6073314453537315,1.6573331765662431,2.176587964544103
387.1669169850972,2.9601091817211778,1.495055473398641,1.9799326743322088
448.14047465571656,2.4522517636220447,1.347461191284832,1.8199053000433891
518.7165437288157,2.051822424851553,1.2128782187221865,1.6916969842308045
600.4073899923428,1.7325603064144341,1.0896536914872605,1.5900100370877237
694.9634406607249,1.4728158612297084,0.9761602527682317,1.5087849121627748
804.4107915812838,1.2558303071999648,0.8708174819703168,1.442128038539736
931.0946213188289,1.0688061446015995,0.7721681427932519,1.3841624451577155
1077.729442371921,0.9035443958676813,0.679044672922915,1.3306111245647771
1247.457266276664,0.7554972285678212,0.5908136451298308,1.278740318195937
1443.9149289283548,0.6231698011443824,0.5077463921285474,1.227324922057965
1671.312018731537,0.5070077492694378,0.43118016550361504,1.1758605562880118
1934.5210773806516,0.4082115435488691,0.3631398115003518,1.1241167468317466
2239.182006044756,0.3277338985799841,0.30562918128686173,1.0723252838621289
2591.8229141155207,0.2657076072992292,0.2599939740146426,1.0219760219683585
3000.000000000001,0.22080947123597613,0.2262337463717288,0.9760235808196362
