v_kms,beta,sigmaT_over_m_num_cm2g,sigmaT_over_m_fit_cm2g,ratio_num_fit,lmax,h_GeVinv,Rmatch_GeVinv,delta_std_mean_lowL,delta_std_max_lowL,match_r_pts_GeVinv
5.000000000000001,215701.24289683613,65.326922099606,13.367445890028241,4.887016011662942,25,0.25,1000.0,6.55267915604962e-05,0.001698362635589729,"900.0,950.0,1000.0"
5.572592853587432,173651.29600432236,65.27206722822231,12.931744147529765,5.047429525636776,25,0.25,1000.0,7.306076090562725e-05,0.0018922002492023518,"900.0,950.0,1000.0"
6.2107582223707425,139798.789283764,65.20404463941097,12.50320891905085,5.214984814023308,25,0.25,1000.0,8.146888533777212e-05,0.002107982998716889,"900.0,950.0,1000.0"
6.9220053770685155,112545.67017294116,65.11972802924748,12.081839995267018,5.389884988938582,25,0.25,1000.0,9.085555106778949e-05,0.002348126433411464,"900.0,950.0,1000.0"
7.7147035393491565,90605.41897087466,65.01526721444444,11.667637151327233,5.572273663571097,25,0.25,1000.0,0.00010133867554344936,0.002615284923484473,"900.0,950.0,1000.0"
8.598180362184554,72942.31696584156,64.88593075920764,11.260600145388068,5.762208933933469,25,0.25,1000.0,0.00011305181679060385,0.002912364309413684,"900.0,950.0,1000.0"
9.58283168803309,58722.55395734784,64.72591946003348,10.860728716978619,5.959629519043893,25,0.25,1000.0,0.00012614670464933665,0.003242530173284981,"900.0,950.0,1000.0"
10.680243876372874,47274.867137665315,64.52814845067945,10.468022585173149,6.164311160550683,25,0.25,1000.0,0.0001407962883203633,0.0036092088917806125,"900.0,950.0,1000.0"
11.903330140009283,38058.85323903315,64.28399757935111,10.082481446544433,6.375811145319107,25,0.25,1000.0,0.00015719840992152107,0.004016077402166707,"900.0,950.0,1000.0"
13.266482494421517,30639.45807932733,63.98303240736206,9.704104972866519,6.593398627309156,25,0.25,1000.0,0.00017558021358805387,0.004467035624966564,"900.0,950.0,1000.0"
