E_min,E_max,A_DN_percent,Error_percent
4.49,4.99,-4.03635,8.3967
4.99,5.99,0.113103,4.06595
5.99,7.49,-3.27181,3.18071
7.49,8.99,1.72463,4.0058
8.99,11,-6.80236,4.69163
11,13,-3.98615,7.88805
13,15.5,1.1775,15.5879
